ts,eval_id,gen,idx,score,type1,type2,type3,type4,c9,c10,c11,c12,L_st_position,L_st_span,L_st,L_st_straight,delta_st,L_w_position,L_w_span,L_w,L_w_straight,delta_w,u_L_st_position,u_L_st_span,u_L_st,u_L_st_straight,u_delta_st,u_L_w_position,u_L_w_span,u_L_w,u_L_w_straight,u_delta_w,traj1_n_points,traj1_X_final,traj1_m_final,traj1_mdot_final,traj1_v_final,traj1_theta_final,traj2_n_points,traj2_X_final,traj2_m_final,traj2_mdot_final,traj2_v_final,traj2_theta_final
1768585713.061099,1,0,0,119707.94521420472,59.335584944022074,8106.263013863833,8762.819028451113,102779.52758694575,0.0,0.0,0.0,320.5924633969828,1.0390491754342934,0.5193290858409346,0.1569237105066235,0.125821452427447,0.014672019859042353,3.026469039572673,2.4532375031654188,1.595801103392269,0.5685647819245403,0.01846072846036601,0.8384972514476452,0.24563775833918045,0.4149203348685561,0.6095865917234052,0.23360099295211761,0.20529380791453467,0.9777321443644852,0.5890005015419404,0.5265211170350576,0.28202428201220026,39,24170.0,281.5,0.0,712.5,0.403,6,1989.0,462.3,7.613,480.6,0.5261
1768585779.1275685,3,0,2,50318.418009322675,112.5267922087253,20052.20678871969,21098.73109240738,9054.953335986884,0.0,0.0,0.0,95.15751854681207,0.9208641335185891,0.5869172358495451,0.07043610086571478,0.05614195755506782,0.02886446141162935,3.50189939090696,1.8231846903203932,1.418537073037246,0.6612771386078793,0.03705997954295073,0.44454711172863043,0.29762864296118857,0.1528366692900448,0.24285240818456744,0.9432230705814677,0.30037987818139195,0.6777069953906634,0.5084259422896572,0.6589673408683989,0.9019993180983579,39,24270.0,281.5,0.0,740.6,0.3974,6,1989.0,462.3,7.614,481.3,0.5258
1768585911.1190608,7,0,6,23784.58189787839,0.8788079839529279,11479.753242112121,12279.34061466925,24.60923311306652,0.0,0.0,0.0,4.960769407366817,0.9748512308096056,0.89162270092693,0.20324061606163843,0.13155184894805722,0.012710248375806412,2.391544062751504,1.4535993725576146,1.4922139674456383,0.6167812742576637,0.03931491944975127,0.6245041026986855,0.5320174622514846,0.5552745941261772,0.6397465734108274,0.1355124187903206,0.07830881255030087,0.5017139869321975,0.5419154397480174,0.595401820368091,0.9771639816583757,39,24260.0,281.5,0.0,736.1,0.3982,6,1989.0,462.3,7.614,482.5,0.5252
1768585944.1428285,8,0,7,7695.907629765619,210.60981938688292,3516.6532087051332,3968.614441484898,0.03016018870501601,0.0,0.0,0.0,0.17366689006548142,0.806826632039402,0.9919365498155865,0.1254819413555476,0.08226511596694809,0.02534299443139518,3.3681717361351913,1.6204929548941527,1.9427184899710273,0.5806932778497556,0.019427940390966986,0.0644221067980067,0.609181961396605,0.3196422465319625,0.3803427156155163,0.7671497215697591,0.2736343472270382,0.5811871213781679,0.7466902227141032,0.5438475397853652,0.3142646796988995,39,24220.0,281.5,0.0,724.6,0.4005,6,1988.0,462.3,7.613,480.9,0.5262
1768586043.1318085,11,0,10,553.7392671840903,278.1792671840902,0.0,275.56000000000006,0.0,0.0,0.0,0.0,0.0,0.9670117264027001,0.7803485974296234,0.18450143152350065,0.04525986367735715,0.022037214703762666,5.05439260680312,1.3500197427677518,0.4718992225811111,0.494540658285306,0.02457457670166642,0.5983724213423336,0.44642199802278726,0.4984891864348506,0.1855782298808271,0.6018607351881333,0.610878521360624,0.4523903536989294,0.07813601026414141,0.4207723689790086,0.4858192233888807,38,24570.0,281.5,0.0,841.0,0.3803,6,1991.0,462.4,7.614,484.1,0.524
1768586670.3029697,30,1,11,312.317752048072,109.78312439613462,0.0,91.39360000000005,111.14102765193734,0.0,0.0,0.0,10.542344504517832,0.8697991349484618,1.2810564555356763,0.19350221552974953,0.19887356260503644,0.026950289956632213,3.8791666403975116,1.1496059004377517,1.0282577837803961,0.42767730007312066,0.011115708107580129,0.2743304498282064,0.8315818888735971,0.5257642894840896,0.9940713821317707,0.8475144978316107,0.37583332807950226,0.35695519068464365,0.33102626535472546,0.32525328581874385,0.03719027025267095,38,24360.0,281.5,0.0,770.6,0.392,6,1989.0,462.3,7.614,482.5,0.5252
1768586901.3169792,37,2,0,299.91176823385257,0.39718477732597995,28.959261767053324,210.66932896209937,59.885992727373896,0.0,0.0,0.0,7.738604055472401,0.9173428857663232,1.102975784483203,0.23317971155606412,0.12548647562763252,0.024889425770152185,2.8727971781703294,1.4836741128757303,0.8655783101532468,0.5775907126557775,0.015988062051024567,0.4328096192210773,0.6945967572947715,0.6459991259274671,0.607823555934908,0.7444712885076094,0.1745594356340659,0.5160352918455857,0.25708105006965765,0.539415303793968,0.19960206836748562,38,24420.0,281.5,0.0,789.8,0.3885,6,1989.0,462.3,7.614,482.2,0.5253
1768587066.3429055,42,2,5,200.55663050817932,84.57140550382665,0.0,103.51884274654726,12.46638225780541,0.0,0.0,0.0,3.530776438378025,0.8271892992088871,0.8752348819997031,0.1932476960898444,0.10147940624318187,0.021606475097685547,4.084472877532463,1.1573220207995252,0.694804250731089,0.8880349139106853,0.020668959085387073,0.13229766402962354,0.5194114476920793,0.5249930184540741,0.48147055917464143,0.5803237548842776,0.41689457550649245,0.3606295337140596,0.17945647760504047,0.9829070198724076,0.35563196951290243,38,24380.0,281.5,0.0,776.6,0.3909,6,1988.0,462.3,7.613,480.9,0.526
1768588947.54785,99,5,8,186.98248706867008,0.0,0.0,152.76960000000008,34.21288706867001,0.0,0.0,0.0,5.849178324232388,0.8540778106648383,1.0830167964727038,0.15291982221285652,0.0675342611413366,0.019878888927448386,2.9937087176860047,1.527264700828023,0.8460745941417327,0.5825220917194833,0.010038851988711643,0.2219260355494614,0.6792436895943874,0.4027873400389592,0.3028119007438768,0.4939444463724193,0.19874174353720092,0.5367927146800109,0.24821572460987845,0.5464601310278333,0.0012950662903881268,38,24450.0,281.5,0.0,798.6,0.387,6,1990.0,462.3,7.614,482.7,0.525
1768590399.8751638,143,7,16,185.9554194270036,72.89787931563588,26.246555185747518,86.49000000000001,0.32098492562018544,0.0,0.0,0.0,0.566555315587265,0.9991894458194317,0.7078004041399921,0.02377844478488485,0.01383377324735708,0.012370651672176861,3.47920327169119,1.3469232604223185,1.2342492775884182,0.6070355356444015,0.010018711542660198,0.7056314860647726,0.39061569549230163,0.011449832681469246,0.020177753933458317,0.11853258360884306,0.29584065433823803,0.4509158382963421,0.4246587625401901,0.5814793366348594,0.0006237180886732457,38,24360.0,281.5,0.0,768.0,0.3922,6,1991.0,462.3,7.614,484.1,0.5242
1768590762.9092512,154,8,9,112.21268655112411,0.005382838354508033,0.0,30.188614659216107,82.01868905355349,0.0,0.0,0.0,9.056417009698343,0.9072656676441416,1.3500596591469474,0.022825146506714227,0.19977034718537326,0.017310674429651746,2.0953291450053873,1.3829072936722477,1.4461340720793912,0.3196195213770451,0.014414386512501154,0.39921889214713885,0.8846612762668825,0.00856105002034614,0.9987913009756486,0.3655337214825874,0.01906582900107744,0.4680510922248799,0.5209700327633595,0.17088503053863585,0.14714621708337183,39,24200.0,281.5,0.0,727.4,0.4004,6,1986.0,462.2,7.613,479.3,0.5272
